
Thread,Function,Start,Finish,Duration
P#1T#0,main,7557043,7747561,190518
P#3T#0,main,7835450,7956952,121502
P#2T#0,main,8734019,8888897,154878
P#0T#0,main,23603869,23839473,235604
P#0T#0,MPI_Barrier,23839473,24089651,250178
P#2T#0,MPI_Barrier,8888897,24105460,15216563
P#1T#0,MPI_Barrier,7747561,24105477,16357916
P#3T#0,MPI_Barrier,7956952,24108940,16151988
P#1T#0,main,24105477,24399149,293672
P#3T#0,main,24108940,24402139,293199
P#2T#0,main,24105460,24402388,296928
P#0T#0,main,24089651,24420186,330535
P#0T#0,MPI_Send,24420186,24666871,246685
P#1T#0,MPI_Recv,24399149,24675534,276385
P#0T#0,main,24666871,24697476,30605
P#1T#0,main,24675534,24791164,115630
P#1T#0,MPI_Send,24791164,24803153,11989
P#1T#0,main,24803153,24810285,7132
P#2T#0,MPI_Recv,24402388,24821380,418992
P#2T#0,main,24821380,24944474,123094
P#2T#0,MPI_Send,24944474,24960240,15766
P#2T#0,main,24960240,24970690,10450
P#3T#0,MPI_Recv,24402139,24990589,588450
P#3T#0,main,24990589,25120354,129765
P#3T#0,MPI_Send,25120354,25140081,19727
P#3T#0,main,25140081,25151837,11756
P#0T#0,MPI_Recv,24697476,25162279,464803
P#0T#0,main,25162279,25177264,14985
P#3T#0,MPI_Barrier,25151837,25192761,40924
P#2T#0,MPI_Barrier,24970690,25193647,222957
P#0T#0,MPI_Barrier,25177264,25196681,19417
P#1T#0,MPI_Barrier,24810285,25202065,391780
P#3T#0,main,25192761,25202621,9860
P#2T#0,main,25193647,25203557,9910
P#0T#0,main,25196681,25206631,9950
P#0T#0,MPI_Send,25206631,25211611,4980
P#1T#0,main,25202065,25215879,13814
P#0T#0,main,25211611,25219029,7418
P#1T#0,MPI_Recv,25215879,25223591,7712
P#1T#0,main,25223591,25330674,107083
P#1T#0,MPI_Send,25330674,25335830,5156
P#2T#0,MPI_Recv,25203557,25336668,133111
P#2T#0,main,25336668,25444350,107682
P#2T#0,MPI_Send,25444350,25448916,4566
P#3T#0,MPI_Recv,25202621,25452296,249675
P#1T#0,main,25335830,25488970,153140
P#3T#0,main,25452296,25560361,108065
P#3T#0,MPI_Send,25560361,25568260,7899
P#2T#0,main,25448916,25591624,142708
P#0T#0,MPI_Recv,25219029,25612079,393050
P#3T#0,main,25568260,25676677,108417
P#0T#0,main,25612079,25728983,116904
P#3T#0,MPI_Barrier,25676677,25729698,53021
P#2T#0,MPI_Barrier,25591624,25733547,141923
